~	1701296
的	1561014
？	1275626
是	1121848
么	825893
什	818069
中	576703
名	530870
国	477640
有	429744
文	413952
哪	408939
多	355654
少	321037
地	306943
学	291202
大	276319
主	271602
演	257274
些	246735
人	238734
出	216439
村	216252
市	215229
年	213514
电	212969
时	205957
区	204105
道	201320
歌	196064
作	191701
曲	185319
0	184547
知	181132
1	169582
公	169503
业	167603
e	161807
山	160314
镇	155410
城	154058
省	153235
2	151304
王	150713
类	145352
天	144624
生	137373
吗	136889
 	134912
司	134150
影	133913
你	132004
南	130865
长	130719
在	130707
唱	130483
品	128611
a	128035
属	126839
别	126217
县	124939
院	120001
间	119770
版	119308
9	117877
i	116916
称	116006
o	115232
里	115157
日	114840
要	113891
西	112269
东	111577
家	109190
李	105907
谁	104578
型	103736
行	103253
导	102752
游	99933
·	99819
代	99621
物	97262
书	95744
成	95028
位	93617
外	93269
问	92956
n	92928
海	92619
小	92256
安	91555
剧	91149
r	91060
语	90933
点	90134
视	90114
请	90062
江	89116
发	88874
民	88763
期	88685
职	88077
方	87073
之	86765
《	85078
动	85077
》	85056
一	84837
理	83917
科	83310
所	81131
戏	80350
建	79973
州	79403
广	79316
平	79210
下	78251
面	78107
高	77735
斯	77179
华	75952
特	75599
t	75263
个	74219
张	74191
专	73849
教	72705
于	71960
北	71878
新	71697
美	71429
龙	71217
者	71143
性	70006
l	69575
制	69221
台	68200
工	68008
校	67419
会	67280
候	67268
s	66939
积	66188
英	65618
场	64751
片	64624
上	64577
口	64473
本	64428
政	64360
编	63933
明	63618
原	63565
S	63430
子	63267
刘	63033
辖	62423
员	62243
族	62204
湖	61826
音	61788
空	61706
用	61505
、	61262
法	61021
河	60895
画	60722
部	60087
我	60002
关	59600
机	59436
尔	59183
神	59037
社	58917
战	58512
金	58217
数	57861
限	57343
啊	57253
号	55157
白	54596
三	53897
m	53341
籍	53216
门	53200
执	52941
辑	52138
c	51712
亚	51462
乐	51219
阳	51197
著	50471
师	50134
星	49912
古	49818
达	49802
色	49263
手	48767
花	48332
言	48047
云	47972
系	46806
世	46805
词	46795
C	46618
开	46564
创	46312
度	46223
总	46191
万	45952
图	45878
记	45804
光	45575
A	45440
分	45337
网	44441
克	44392
女	44261
副	44143
经	44028
3	43383
说	43356
集	42470
d	42380
德	42318
产	42225
M	42155
景	41898
u	41737
京	41704
陈	41660
尼	41400
格	41231
林	40455
石	40381
汉	39898
红	39660
目	39641
级	39487
B	39400
四	39107
委	39026
8	38909
置	38744
水	38651
h	38490
杨	38383
军	38086
7	38067
表	37809
质	37733
传	37639
和	37440
医	37412
第	37112
v	37040
源	37029
技	36970
4	36931
庙	36619
事	36591
种	36506
体	35971
马	35600
火	35537
黄	35174
I	35148
y	35037
布	34950
术	34735
车	34716
峰	34711
爱	34688
(	34370
码	34161
)	34090
营	33985
运	33924
球	33846
乡	33659
站	33618
就	33618
风	33559
单	33470
范	33265
太	33148
授	33077
士	33075
武	32946
阿	32531
化	32507
6	32287
共	32191
信	31936
角	31900
雷	31867
毕	31784
罗	31735
清	31647
内	31483
播	31405
庄	31357
设	31319
合	31254
拉	31247
都	30949
P	30875
商	30860
青	30831
5	30735
雕	30653
重	30644
木	30628
义	30622
定	30582
首	30560
立	30548
想	30371
任	30316
香	30226
哈	30148
p	30100
g	30080
寺	30024
界	29903
杰	29887
能	29484
苏	29439
凤	29333
件	29137
研	28736
沙	28710
漫	28584
兰	28520
域	28515
自	28460
字	28394
宁	28389
队	28164
管	28048
历	28015
园	27934
利	27877
计	27849
量	27744
通	27483
流	27413
式	27362
二	27323
同	26983
N	26951
侠	26860
T	26831
黑	26813
塔	26660
初	26649
D	26493
奇	26489
卡	26402
办	26388
周	26298
雄	26246
务	26226
现	25970
恋	25894
E	25778
究	25675
心	25592
来	25568
气	25491
姆	25439
店	25263
列	25247
-	25237
福	25210
其	25207
纪	25200
治	24970
路	24911
志	24897
奥	24770
宝	24609
组	24577
这	24555
楼	24460
团	24324
基	24231
情	24086
了	24033
川	24018
十	23809
资	23748
力	23700
春	23382
博	23202
局	23158
b	23073
伟	23023
摄	22931
程	22923
对	22644
强	22592
史	22550
凰	22257
简	22250
项	22103
月	22098
节	22069
围	22019
农	21966
蝶	21950
身	21716
G	21564
郭	21435
常	21433
酒	21091
港	20884
，	20799
加	20720
与	20541
条	20529
O	20400
后	20397
药	20387
蒙	20384
兴	20359
皇	20301
朝	20287
解	20227
保	20123
L	20119
蝴	20019
侣	20019
价	20010
府	19949
党	19942
（	19913
材	19904
他	19903
剑	19730
田	19689
处	19675
话	19657
湾	19433
仙	19308
叶	19080
联	19068
艺	19058
无	19030
V	18920
录	18919
题	18713
线	18683
植	18663
功	18634
帝	18613
样	18595
弟	18586
巴	18531
凯	18501
韩	18463
全	18393
儿	18328
始	18055
连	18043
纳	17998
食	17957
释	17911
牌	17895
吉	17857
桥	17841
装	17659
映	17529
丁	17493
统	17344
过	17185
兄	17178
R	17108
最	17080
夫	16943
米	16901
孙	16847
器	16831
向	16805
洋	16805
梦	16762
料	16631
庆	16545
形	16520
状	16513
应	16483
得	16481
客	16440
泉	16382
玉	16290
双	16288
f	16144
头	16097
丽	16095
维	15966
宗	15961
飞	15882
济	15767
真	15748
意	15731
笑	15711
波	15601
领	15600
街	15563
果	15544
敏	15544
叫	15538
好	15380
宫	15275
魔	15239
唐	15191
豹	15122
译	15045
溪	14998
野	14984
均	14973
放	14928
友	14869
旋	14798
命	14717
官	14695
贝	14649
威	14625
温	14615
五	14593
交	14564
x	14510
卫	14491
际	14387
娜	14384
圣	14343
铁	14304
彩	14292
馆	14270
址	14245
老	14212
告	14151
荣	14129
标	14117
永	14082
载	14061
写	14043
容	13910
寨	13887
拍	13874
足	13859
观	13854
洁	13839
秋	13798
配	13756
怎	13729
诉	13715
泰	13687
K	13684
络	13656
元	13629
精	13525
念	13516
筑	13482
草	13478
浙	13415
涛	13407
为	13379
昌	13366
徽	13287
份	13244
比	13243
梁	13225
耕	13033
：	12952
绿	12865
协	12862
郑	12845
夜	12804
射	12710
树	12680
傲	12665
.	12523
指	12461
奖	12446
k	12397
育	12325
群	12318
诗	12279
注	12248
起	12159
男	12102
丹	12085
健	12084
可	12059
盘	12013
岛	11986
实	11977
构	11971
提	11960
修	11953
何	11920
瑞	11919
房	11886
等	11870
诺	11837
灵	11817
邮	11805
正	11730
展	11725
F	11682
伦	11677
监	11637
朱	11599
百	11573
费	11559
软	11558
相	11510
由	11480
约	11456
H	11443
参	11441
服	11431
入	11414
w	11350
使	11345
勇	11324
洛	11312
陆	11292
八	11250
死	11242
环	11232
效	11103
持	11010
结	10969
拼	10963
座	10863
喜	10854
茶	10850
土	10835
九	10828
企	10798
超	10741
航	10735
徐	10713
康	10671
登	10634
纲	10602
密	10600
进	10598
临	10569
银	10568
吴	10539
梅	10499
夏	10489
户	10468
赛	10441
）	10352
辉	10344
那	10313
病	10280
页	10259
象	10243
母	10237
赵	10233
造	10116
逝	10110
如	10069
率	10069
冰	10039
支	10017
占	10017
宇	10017
思	9990
鱼	9978
适	9974
伊	9973
室	9950
藏	9855
佛	9835
前	9781
易	9767
划	9764
勒	9694
普	9667
洲	9609
陵	9604
贵	9524
血	9521
深	9516
包	9420
央	9413
旗	9386
雪	9382
誉	9364
谱	9311
霸	9295
算	9279
股	9237
具	9226
亲	9221
莲	9196
富	9180
呀	9173
胡	9161
争	9151
填	9139
芳	9136
猫	9122
斗	9042
董	9037
震	9032
几	9026
希	9014
斌	8984
将	8984
频	8960
收	8928
息	8914
恩	8849
笔	8844
丰	8841
虎	8838
典	8817
兵	8808
七	8799
不	8766
J	8762
仰	8742
模	8719
复	8710
态	8696
施	8679
良	8677
活	8652
氏	8651
莱	8650
钱	8599
津	8568
律	8552
君	8541
改	8540
智	8536
迪	8507
从	8439
次	8397
枫	8375
境	8354
油	8346
微	8337
嘉	8333
鸟	8305
极	8277
规	8269
牛	8262
否	8255
回	8250
哥	8221
岩	8208
投	8201
做	8172
辽	8164
票	8121
础	8113
兽	8099
依	8097
味	8089
权	8054
U	8048
很	8028
裁	8027
驻	7981
姓	7945
谷	7920
托	7814
责	7785
着	7777
泽	7776
厂	7774
雅	7762
桃	7710
印	7636
肖	7586
悟	7571
还	7544
备	7541
艾	7541
钟	7523
隆	7510
虫	7499
颜	7497
含	7489
声	7455
因	7452
操	7414
秀	7413
珠	7412
陕	7409
训	7409
孔	7398
伯	7398
杂	7344
祥	7332
故	7283
居	7272
许	7193
秦	7189
险	7180
吧	7172
欢	7170
/	7152
准	7120
菜	7115
麦	7103
迈	7085
妈	7081
完	7071
W	7061
仁	7045
曼	7013
蓝	6995
械	6975
鲁	6970
杀	6969
然	6947
越	6924
堂	6920
及	6908
雨	6904
缘	6849
楚	6833
季	6822
蒂	6801
千	6791
症	6770
曾	6765
钢	6757
森	6744
鸯	6740
鸳	6738
独	6737
紫	6686
忠	6682
素	6672
击	6666
介	6664
拔	6649
派	6633
护	6629
屠	6597
欧	6594
萨	6585
肯	6577
衣	6568
获	6554
俱	6521
它	6517
爸	6515
燕	6487
席	6465
速	6461
亮	6459
沈	6457
报	6457
背	6457
征	6447
隍	6397
讲	6378
概	6365
菲	6360
根	6323
远	6313
变	6299
晓	6280
?	6269
住	6241
六	6224
顺	6220
甘	6192
索	6154
佳	6140
莉	6127
宋	6118
杜	6098
塞	6061
静	6059
呢	6057
乌	6056
z	6035
汽	6031
宾	6021
锦	6019
俊	6010
缩	6006
册	6000
以	5991
鸡	5975
鬼	5941
犬	5939
承	5901
顿	5897
Y	5885
父	5875
纸	5847
旭	5832
鑫	5831
眼	5829
宜	5829
优	5813
养	5807
探	5793
滨	5792
倚	5783
松	5774
汇	5758
刚	5740
贸	5733
幻	5729
豆	5729
屏	5691
黎	5689
防	5689
姬	5681
池	5667
旅	5634
硕	5617
章	5592
乔	5584
孤	5571
蔡	5563
寸	5557
况	5551
毛	5551
侯	5542
隶	5522
劳	5511
娘	5510
齐	5502
排	5490
例	5465
皮	5454
踪	5445
尺	5442
近	5440
帧	5371
途	5371
圳	5369
绝	5360
枪	5360
卓	5325
烈	5316
财	5313
祖	5310
惠	5285
恒	5279
萤	5275
策	5272
坦	5262
埃	5262
控	5244
贴	5239
板	5238
干	5209
玛	5173
盟	5170
尾	5163
像	5154
每	5151
舞	5148
热	5147
边	5146
举	5143
浩	5134
杭	5129
羊	5125
忍	5112
班	5110
晶	5096
值	5085
秘	5069
刺	5039
织	5031
库	5022
麻	5021
饰	5013
见	5008
贼	5008
井	5003
混	4989
核	4985
附	4965
刊	4952
当	4951
童	4943
宣	4926
浪	4869
X	4867
胜	4865
览	4857
打	4856
去	4848
岳	4847
届	4810
反	4809
玩	4804
读	4793
甲	4775
晋	4773
望	4755
靖	4750
